Test,Station,DSP,REQ_ID,Job Title,English Job title,Title Appropriate?,Salary Mentioned?,Phone Number in JD,JD Formatted Correctly?,JOB_URL
2,DES2,MOG LOGISTICA E SERVICOS DE ENTREGA RAPIDA LTDA,100020,Associados de entregas,Delivery Associates,Yes,Yes,No,"Yes – detailed doc list, rate info",https://entregapro.com/job/36d2860d292bcbd4534f1fd11707ac9b
2,DES2,NB LOG LOGÍSTICA E TRANSPORTE,100036,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio","Opportunity for Partner Drivers (Utility Vehicles, VUC, Passenger Cars)","Remove 'Opportunity for' and keep 'Partner Drivers (Utility Vehicles, VUC, Passenger Cars)'",Yes,No,Yes,https://entregapro.com/job/7c0814d32e6bbf4746a424a212b2179f
PR,DBH5,ALC & Pereira Filho Transportes LTDA,100041,ESTAMOS AGREGANDO UTILITARIOS INICIO IMEDIATO,We Are Adding Utility Vehicles – Immediate Start,No,Yes,No,Yes,https://entregapro.com/job/25fe616f1894de995ffd66791a234672
PR,DBH5,ZIAD LOGISTICA,100051,Agregamos veículos de carga,We Add Cargo Vehicles,No,Yes,No,Yes,https://entregapro.com/job/46f17679e6594833e4bd46669005d64b
PR,DGO2,CAMELO TRANSPORTES E ENCOMENDAS LTDA,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,No,No,No,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DGO2,CAMELO TRANSPORTES E ENCOMENDAS LTDA,100034,"Oportunidade para Entregadores (Utilitários,VUC, Carro de Passeio) - TRINDADE e Regiões próximas","Opportunity for Delivery Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars) – Trindade and Nearby Regions",Yes,No,No,Partially,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DGO2,CAMELO TRANSPORTES E ENCOMENDAS LTDA,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio) - Goiânia","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars) – Goiânia",Yes,No,No,Partially,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DRS5 e XCS1,Beta X Log - Soluções Logisticas,100032,"Oportunidade para Motoristas Parceiros (Utilitários, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Passenger Cars)",,,,,https://entregapro.com/job/c45a9fbc0142baa68a345f2f83f5837b
PR,DRS5,SETTA LOGISTICA INTELIGENTE,100058,Agregue seu veículo com a Setta!,Add Your Vehicle with Setta!,No,Yes,No,Yes,https://entregapro.com/job/339d0715a7cd6e462ba2e734d9e477e9
PR,DRS5,MBLOG,100035,"Oportunidade para Motoristas Parceiros (Utilitários, VAN, VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Van, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,No,Yes,https://entregapro.com/job/bbc2f1d5db5e386dbde980c27cef562d
PR,DGO2,ASJ Logistica,100019,VAGAS PARA TRANSPORTADORES AUTÔNOMOS,Openings for Independent Carriers,Partially,Yes,Yes,Yes,https://entregapro.com/job/e6c7d236f20aaa5e94fd378fe2f064bc
PR,DSP5 e DSP3,Singular Soluções Integradas Ltda.,100004,MOTORISTA AGREGADO PARA OPERAÇÃO PORTA A PORTA,Partner Driver for Door-to-Door Operation,Yes,Yes,No,Yes,https://entregapro.com/job/77b3820914d81eb1d8abe467ba47a835
PR,DSP5 - XCP1 - XSP9,Panda Logistica Ltda.,100043,MOTORISTA AGREGADO COM UTILITÁRIO (Fiorino ou similar) - ENTREGAS PORTA A PORTA,Partner Driver with Utility Vehicle (Fiorino or Similar) – Door-to-Door Deliveries,Yes,Yes,No,Partially,https://entregapro.com/job/f05d13ee642c6ab77203b2006bd14bf8
PR,DSA8,AMAZING ENTREGAS RAPIDAS LTDA,100001,"Oportunidade para Motoristas Parceiros (VUC, Passeio, Utilitários)","Opportunity for Partner Drivers (Small Urban Cargo Vehicles, Passenger Cars, Utility Vehicles)",Yes,Yes,No,Yes,https://entregapro.com/job/35d48374305a785a541f4f5fbc114ef0
PR,DSA8,LC Transportes e Logistica Ltda,100055,Oportunidade para Motorista Entregador (Passeio e Utilitários),Opportunity for Delivery Driver (Passenger Cars and Utility Vehicles),Yes,Yes,No,Yes,https://entregapro.com/job/5f9200c5714ccefa44304aa5ec838f83
PR,DSP2 E DBZ1,ELOG SERVICOS DE ENTREGAS RAPIDAS,100052,Motorista Entregador com Veiculo Próprio,Delivery Driver with Own Vehicle,Yes,Yes,No,Partially,https://entregapro.com/job/a0f0b68b653bb8678b6acbcd7dad290f
PR,DBZ1,PRIZZ LOG,100048,Estamos Agregando Motoristas,We Are Adding Drivers,No,Yes,No,Yes,https://entregapro.com/job/cde0e3cc96736db85277385011a60bcf
PR,DBZ1,PARSEC OPERAÇÕES LOGISTICAS LTDA,100033,Motorista entregador,Delivery Driver,Yes,Yes,Yes,Yes,https://entregapro.com/job/109619a15dbdb7749db405fc231055c
PR,DCE3,ATM EMPREENDIMENTOS LTDA,100040,"JUNTE SE AO TIMA DA ATM LOGISTICA, E SEJA UM PARCEIRO DE ENTREGAS",Join the ATM Logistics Team and Be a Delivery Partner,Yes,Yes,No,Yes,https://entregapro.com/job/e680eaeb2db630716e9b8dc2f903c5de
PR,DBH5,LEMM Transporte e Logística LTDA,100042,"Oportunidade para Motoristas Parceiros (Utilitários, VUC, Carro de Passeio e Moto)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars, and Motorcycles)",Yes,Yes,No,No,https://entregapro.com/job/34d0e2052f2cc6d21c69f3a27fa473a8
PR,DPE4,HALMEIDA EXPRESS,100030,ENTREGADOR,Delivery Person,No,No,No,Partially,https://entregapro.com/job/65bdbc440e8883c38e5247e2eb563d18
PR,DPE4,FALCON LOG ENTREGAS RAPIDAS LTDA,100002,Motorista de entregas porta a porta.,Door-to-Door Delivery Driver,Yes,Yes,Yes,Yes,https://entregapro.com/job/1a9073b87cc61231db17158a573be237
PR,DPE4,TK Log Express,100008,"Oportunidade para Motoristas Parceiros (Utilitários, HR, VAN, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, HR Trucks, Vans, Passenger Cars)",Yes,Yes,Yes,Yes,https://entregapro.com/job/5d201053ea523c502acbba5dc8ebf089
PR,DPE4,Calu Express,100024,OPORTUNIDADE PARA AGREGAR SEU VEICULO,Opportunity to Add Your Vehicle,No,No,No,Partially,https://entregapro.com/job/7e178d17ca741643f25604caef04eaae
PR,DBS5,Temelio Serviços,100016,"Oportunidade para Motoristas Parceiros (Utilitários, VUC e Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,Yes,Yes,https://entregapro.com/job/6e46ad91ab11507d39b2be3cf7b72657
PR,DBS5,PRALOG FAST LTDA,100047,Vagas para motoristas de E-commerce porta a porta,Openings for E-commerce Door-to-Door Drivers,Yes,Yes,Yes,Yes,https://entregapro.com/job/9f842c8b1882b9d8273e754b283c76b1
PR,DBS5,Itrafficlog,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,Yes,Yes,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DBS5,Five Stars Logística,100018,"AGREGANDO NO DF - Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Adding in the Federal District – Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,No,Yes,https://entregapro.com/job/b07ab8efa20cd55c7850e4e7efaea106
PR,DSP3,NEW PRIZZ LOGISTICA LTDA,100015,Vagas para agregar,Openings to Add (Vehicles/Drivers),No,Yes,No,Yes,https://entregapro.com/job/8b9b2deaaaaa910530466ef86716c04a
PR,DSP3,NDIAS ENTREGAS RAPIDAS LTDA,100021,"Oportunidade para Motoristas Parceiros (Utilitários, VUC, Carro de Passeio)",,Yes,Yes,Yes,Yes,https://entregapro.com/job/df5171221afedd27a7c0a85ba48d4fbf
PR,DSP5 e DSP3,Singular Soluções Integradas Ltda.,100039,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio) - Indaiatuba/Campinas","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars) – Indaiatuba/Campinas",Yes,Yes,No,Yes,https://entregapro.com/job/9a17631f7d171f4e563f439bea31d208
PR,DRJ3,STAR LOG,100028,Agregar veículos utilitários,Add Utility Vehicles,No,Yes,No,No,https://entregapro.com/job/f308aa22eb856cfd9fd3e96755a4560b
PR,DRJ3,LOGUS LOGISTICA INTEGRADA LTDA,100064,Oportunidade para Motoristas Parceiros (Utilitários) - Carregamento Taquara,Opportunity for Partner Drivers (Utility Vehicles) – Taquara Loading,Yes,Yes,No,Yes,https://entregapro.com/job/2979a6729c9247b218a4dcbc62bb5a5e
PR,DRJ3,Supply Soluções Integradas,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,No,Yes,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DRJ3,Bravus Serviços de Entregas Rápidas,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,No,Yes,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DCE3,Ir Log Servico de Entrega Ltda,100022,VAGA PARA ENTREGADOR – D2D - FIORINO E AFINS!,🚚 Opening for Delivery Driver – D2D – Fiorino and Similar! 🚚,Yes,Yes,No,Yes,https://entregapro.com/job/61b4ca136c04fd69e694dd7c967293e7
PR,DGO2,Soure Express,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,No,No,Partially,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DCE3,Imperio logistica,100012,MOTORISTA,Driver,No,Yes,No,Partially,https://entregapro.com/job/c3c87a1ada6262715fadf95e7306ab4e
PR,DES2,MOG LOGISTICA E SERVICOS DE ENTREGA RAPIDA LTDA,100020,MOTORISTA ENTREGAS DE E-COMMERCE,E-commerce Delivery Driver,Partially,Yes,No,Yes,https://entregapro.com/job/36d2860d292bcbd4534f1fd11707ac9b
PR,DCE3,Motorize Serviços Logisticos Ltda,100027,Junte-se ao Time da Motorize e Seja um Motorista Parceiro!,🚗 Join the Motorize Team and Be a Partner Driver! 🚗,Yes,Yes,No,Yes,https://entregapro.com/job/aaf3b7e55b1cd4cb7f5eb1403cf6823d
PR,DCE3,Motorize Serviços Logisticos Ltda,100027,Junte-se ao Time da Motorize e Seja um Motorista Parceiro!,🚗 Join the Motorize Team and Be a Partner Driver! 🚗,Yes,Yes,No,Yes,https://entregapro.com/job/aaf3b7e55b1cd4cb7f5eb1403cf6823d
PR,XRJ3,REDENTOR LOG SERVIÇOS DE ENTREGA RAPIDA LTDA,100011,Oportunidade para Motoristas Parceiros (Utilitários),Opportunity for Partner Drivers (Utility Vehicles),Yes,Yes,No,Yes,https://entregapro.com/job/c85a5eeb1a671226c10d69cb302b4acd
PR,DES2,NB LOG LOGÍSTICA E TRANSPORTE,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, Small Urban Cargo Vehicles, Passenger Cars)",Yes,Yes,No,Yes,https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
PR,DBH5,GDG Express Falcon,100073,"BUSCAMOS NOVOS MOTORISTAS PARCEIROS PARA BELO HORIZONTE, CONTAGEM, NOVA LIMA E CIDADES VIZINHAS","We’re Looking for New Partner Drivers for Belo Horizonte, Contagem, Nova Lima, and Nearby Cities",Yes,Yes,No,Yes,https://entregapro.com/job/20cb6b3e9f065aa24c6cfb5422ec21a
PR,DBH5,GDG Express Falcon,100003,Motorista - com veículo,Driver – With Vehicle,Partially,No,No,Partially,https://entregapro.com/job/f46225ea50cd66551835448a730ffd36
